"indikator","anzahl_gebäude"
"Universitäten","37022"
"Clubs","40632"
"Parks","154557"
"Bars","156556"
"Lebensmitteleinkauf","188224"
"Zahnärzte","199419"
"Hausärzte","206503"
"Sport","218406"
