"modus","durchschnitt","median","modus_sortierung","geschwindigkeit"
"Gehen - 4.64kmh (Kinder)","5","5","Walk","4.64"
"Gehen - 5.22kmh (Studenten)","5","6","Walk","5.22"
"ÖPNV - 4.64kmh (Kinder)","6","6","Transit","4.64"
"ÖPNV - 5.22kmh (Studenten)","6","6","Transit","5.22"
"Fahrrad - 10kmh (Kinder)","7","7","Bicycle","10"
"Fahrrad - 15.08kmh (Studenten)","7","7","Bicycle","15.08"
