"indikator","anzahl_gebäude"
"Universitäten","109305"
"Clubs","138942"
"Parks","218322"
"Bars","219847"
"Lebensmitteleinkauf","225057"
"Zahnärzte","225215"
"Hausärzte","226968"
"Sport","228905"
