"indikator","anzahl_gebäude","modus","geschwindigkeit"
"Parks - Gehen 3.89kmh","127988","Gehen","3.89"
"Parks - Gehen 5.22kmh","154557","Gehen","5.22"
"Parks - Gehen 6.84kmh","177399","Gehen","6.84"
"Parks - OPNV 3.89kmh","162602","ÖPNV","3.89"
"Parks - OPNV 5.22kmh","183265","ÖPNV","5.22"
"Parks - OPNV 6.84kmh","199701","ÖPNV","6.84"
"Parks - Fahrrad 11.02kmh","208408","Fahrrad","11.02"
"Parks - Fahrrad 15.08kmh","218322","Fahrrad","15.08"
"Parks - Fahrrad 20.99kmh","221092","Fahrrad","20.99"
