"indikator","anzahl_gebäude","modus","geschwindigkeit"
"Clubs - Gehen 3.89kmh","27393","Gehen","3.89"
"Clubs - Gehen 5.22kmh","40632","Gehen","5.22"
"Clubs - Gehen 6.84kmh","55926","Gehen","6.84"
"Clubs - OPNV 3.89kmh","58390","ÖPNV","3.89"
"Clubs - OPNV 5.22kmh","79666","ÖPNV","5.22"
"Clubs - OPNV 6.84kmh","99502","ÖPNV","6.84"
"Clubs - Fahrrad 11.02kmh","96980","Fahrrad","11.02"
"Clubs - Fahrrad 15.08kmh","138942","Fahrrad","15.08"
"Clubs - Fahrrad 20.99kmh","176543","Fahrrad","20.99"
