"indikator","anzahl_gebäude","modus","geschwindigkeit"
"Bars - Gehen 3.89kmh","120994","Gehen","3.89"
"Bars - Gehen 5.22kmh","156556","Gehen","5.22"
"Bars - Gehen 6.84kmh","185449","Gehen","6.84"
"Bars - OPNV 3.89kmh","171098","ÖPNV","3.89"
"Bars - OPNV 5.22kmh","195665","ÖPNV","5.22"
"Bars - OPNV 6.84kmh","209503","ÖPNV","6.84"
"Bars - Fahrrad 11.02kmh","212249","Fahrrad","11.02"
"Bars - Fahrrad 15.08kmh","219847","Fahrrad","15.08"
"Bars - Fahrrad 20.99kmh","225554","Fahrrad","20.99"
