"indikator","anzahl_gebäude","modus","geschwindigkeit"
"Zahnärzte - Gehen 3.89kmh","171055","Gehen","3.89"
"Zahnärzte - Gehen 5.22kmh","199419","Gehen","5.22"
"Zahnärzte - Gehen 6.84kmh","213661","Gehen","6.84"
"Zahnärzte - OPNV 3.89kmh","202684","ÖPNV","3.89"
"Zahnärzte - OPNV 5.22kmh","216070","ÖPNV","5.22"
"Zahnärzte - OPNV 6.84kmh","222119","ÖPNV","6.84"
"Zahnärzte - Fahrrad 11.02kmh","221893","Fahrrad","11.02"
"Zahnärzte - Fahrrad 15.08kmh","225215","Fahrrad","15.08"
"Zahnärzte - Fahrrad 20.99kmh","228065","Fahrrad","20.99"
