"indikator","anzahl_gebäude","modus","geschwindigkeit"
"Sport - Gehen 3.89kmh","202542","Gehen","3.89"
"Sport - Gehen 5.22kmh","218406","Gehen","5.22"
"Sport - Gehen 6.84kmh","224796","Gehen","6.84"
"Sport - OPNV 3.89kmh","214733","ÖPNV","3.89"
"Sport - OPNV 5.22kmh","222899","ÖPNV","5.22"
"Sport - OPNV 6.84kmh","226512","ÖPNV","6.84"
"Sport - Fahrrad 11.02kmh","228183","Fahrrad","11.02"
"Sport - Fahrrad 15.08kmh","228905","Fahrrad","15.08"
"Sport - Fahrrad 20.99kmh","229014","Fahrrad","20.99"
