"indikator","anzahl_gebäude","modus","geschwindigkeit"
"Universität - Gehen 3.89kmh","23532","Gehen","3.89"
"Universität - Gehen 5.22kmh","37022","Gehen","5.22"
"Universität - Gehen 6.84kmh","52610","Gehen","6.84"
"Universität - OPNV 3.89kmh","43689","ÖPNV","3.89"
"Universität - OPNV 5.22kmh","58110","ÖPNV","5.22"
"Universität - OPNV 6.84kmh","73063","ÖPNV","6.84"
"Universität - Fahrrad 11.02kmh","85855","Fahrrad","11.02"
"Universität - Fahrrad 15.08kmh","109305","Fahrrad","15.08"
"Universität - Fahrrad 20.99kmh","132378","Fahrrad","20.99"
