"modus","durchschnitt","median","modus_sortierung","geschwindigkeit"
"Walk 3.89kmh","4","5","Walk","3.89"
"Walk 5.22kmh","5","6","Walk","5.22"
"Walk 6.84kmh","6","6","Walk","6.84"
"Transit 3.89kmh","5","6","Transit","3.89"
"Transit 5.22kmh","6","6","Transit","5.22"
"Transit 6.84kmh","6","7","Transit","6.84"
"Bicycle 11.02kmh","7","7","Bicycle","11.02"
"Bicycle 15.08kmh","7","7","Bicycle","15.08"
"Bicycle 20.99kmh","7","8","Bicycle","20.99"
